FIBER,PETAL,ORIGINALLY_ASSIGNED_TARGETBIT,ORIGINALLY_ASSIGNED_TARGET_RA,ORIGINALLY_ASSIGNED_TARGET_DEC,OROGINALLY_ASSINED_FIBER_X,ORIGINALLY_ASSIGNED_FIBER_Y,ASSIGNED_TARGETBIT_IN_DITHERED_TILE,ASSIGNED_TARGET_RA,ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X,ASSIGNED_FIBER_Y,DELTA_RA(DITHERED-ORIGINAL)[degrees],DELTA_DEC(DITHERED-ORIGINAL)[degrees],FIBER_DELTA_X(DITHERED-ORIGINAL)[mm],FIBER_DELTA_Y(DITHERED-ORIGINAL)[mm]
0,0,32,20.31468458424386,29.416732298965332,78.37531,-288.09387,545,20.301796911653884,29.429978112982475,81.35456,-284.60995,-0.011226070292369392,0.013245814017142976,2.979248,3.4839172
1,0,33,20.410271750546556,29.470059661999446,57.450462,-274.10785,33,20.410326228229895,29.47064784697574,57.654957,-273.90997,4.742897369747216e-05,0.0005881849762943148,0.20449448,0.19787598
2,0,40,20.535100426754923,29.49849318765158,30.40342,-266.647,40,20.53489088736098,29.495387703617144,30.665741,-267.42273,-0.000182376518548898,-0.003105484034435335,0.26232147,-0.7757263
3,0,545,20.664460745709157,29.66304815921216,2.4730287,-224.58353,545,20.667409405618724,29.687094036184444,2.0134907,-218.49731,0.0025622405954175117,0.02404587697228422,-0.45953798,6.086212
4,0,40,20.776435046003282,29.562853766581988,-21.603994,-250.10626,40,20.774984633385067,29.560958922036992,-21.094353,-250.60721,-0.0012615906241772092,-0.0018948445449957774,0.50964165,-0.50094604
5,0,32,20.462402051551,29.60182301899258,45.893536,-240.23111,33,20.471447130268555,29.605422149148016,44.131695,-239.27095,0.00786450792467329,0.0035991301554361144,-1.7618408,0.9601593
6,0,33,20.620721175558735,29.500109333053455,11.925617,-266.19046,33,20.61896693861307,29.496979395683724,12.518193,-266.98694,-0.0015268084693102475,-0.0031299373697315502,0.592576,-0.7964783
7,0,33,20.604038074256756,29.659666462531575,15.417714,-225.44977,33,20.60527220379878,29.661219430587728,15.3313465,-225.04381,0.001072433986694364,0.0015529680561527925,-0.08636761,0.40596008
8,0,545,20.355996687334383,29.413705789937598,69.399864,-288.8058,33,20.34785700065339,29.421207523345114,71.37189,-286.8119,-0.0070904514111736735,0.007501733407515587,1.972023,1.9938965
9,0,545,20.432618130152054,29.420936736024398,52.7358,-286.80972,545,20.422230864953598,29.437764463236764,55.169823,-282.4106,-0.00904766499165788,0.016827727212366028,2.434021,4.399109
10,0,545,20.66013428586549,29.52322698328945,3.4201436,-260.23996,545,20.64874894394476,29.551235991902235,6.0673304,-253.0541,-0.009907023608905009,0.028009008612784214,2.6471868,7.1858673
11,0,40,20.3974792641217,29.552997140831565,59.99353,-252.77931,545,20.419193440223143,29.54966064192013,55.518215,-253.56433,0.01888915841170147,-0.0033364989114339494,-4.475315,-0.7850189
12,0,32,20.695132606304263,29.653586708914684,-4.097996,-226.98174,32,20.69387052119796,29.65121115167662,-3.6469195,-227.58698,-0.0010967930798880165,-0.002375557238064374,0.45107675,-0.60523987
13,0,33,20.624176756437723,29.618296427432973,11.122106,-235.94843,33,20.62576307137157,29.615776710374668,10.9710045,-236.58049,0.0013790425088052733,-0.0025197170583055595,-0.15110111,-0.6320648
14,0,545,20.59733332177592,29.52941703439678,16.94859,-258.66458,33,20.585446115353253,29.53706287313994,19.707407,-256.69205,-0.010343091106472068,0.007645838743162159,2.7588177,1.9725342
15,0,33,20.50561782324386,29.598332579600374,36.60636,-241.08652,33,20.527480580134206,29.60006697363956,32.095608,-240.60445,0.019009870523340768,0.0017343940391860713,-4.5107536,0.48207092
16,0,32,20.44899211596427,29.505795839948192,48.986076,-264.84268,32,20.44988240429704,29.5062823841178,49.00317,-264.67758,0.0007748231705911387,0.0004865441696075834,0.017093658,0.1651001
17,0,40,20.578647257215398,29.575485040316497,20.932222,-246.87604,40,20.576629470868358,29.576594807000312,21.561253,-246.57632,-0.0017548812785730587,0.0011097666838146836,0.6290302,0.29971313
18,0,40,20.468417775483278,29.473739094033505,44.856308,-273.08835,33,20.458132878954146,29.47187529555728,47.302998,-273.54318,-0.00895383860683378,-0.0018637984762257531,2.4466896,-0.45483398
19,0,32,20.373618563106923,29.497877216543483,65.307014,-266.9784,141733920768,20.353014465765987,29.491839248133747,70.001305,-268.51117,-0.01793326937080455,-0.0060379684097355835,4.69429,-1.5327759
20,0,32,20.59330411983577,29.469548782724306,17.865976,-274.08008,545,20.582346579753057,29.47909622474772,20.440556,-271.60394,-0.009539823778745479,0.009547442023414732,2.5745792,2.4761353
21,0,545,20.74216860449826,29.707704050826987,-14.14643,-213.3014,545,20.765817844380575,29.686961379286025,-19.04573,-218.56187,0.020540899358732607,-0.020742671540961766,-4.8993006,-5.2604675
22,0,40,20.450959486641654,29.593888416298164,48.37145,-242.26514,32,20.448660690468547,29.572972008494013,49.10735,-247.57048,-0.00199891272276176,-0.02091640780415105,0.7359009,-5.3053436
23,0,32,20.714056907025846,29.619472566103695,-8.164493,-235.64677,32,20.688962561524843,29.60473660205515,-2.5911872,-239.39699,-0.021815192292515478,-0.014735964048544048,5.573305,-3.7502136
24,0,40,20.71388854200086,29.518479856127772,-8.164334,-261.4621,8589935139,20.73919937487175,29.534661535390033,-13.405209,-257.32468,0.02202540645718828,0.016181679262260218,-5.2408743,4.1374207
