FIBER, PETAL,  ORIGINALLY_ASSIGNED_TARGETBIT,  ORIGINALLY_ASSIGNED_TARGET_RA, ORIGINALLY_ASSIGNED_TARGET_DEC, OROGINALLY_ASSINED_FIBER_X, ORIGINALLY_ASSIGNED_FIBER_Y, ASSIGNED_TARGETBIT_IN_DITHERED_TILE, ASSIGNED_TARGET_RA, ASSIGNED_TARGET_DEC,ASSIGNED_FIBER_X, ASSIGNED_FIBER_Y, DELTA_RA_DITHERED_ORIGINAL_degrees, DELTA_DEC_DITHERED_ORIGINAL_degrees, FIBER_DELTA_X_DITHERED_ORIGINAL_mm, FIBER_DELTA_Y_DITHERED_ORIGINAL_mm
0,0,545,355.8718689304706,30.065300804894765,82.470634,-288.5001,545,355.87121716514855,30.065795797912642,82.609634,-288.37256,-0.0005640735466513261,0.0004949930178774764,0.13899994,0.12753296
1,0,545,355.96395262029534,30.123135454744165,62.398106,-273.34244,545,355.96245099624383,30.123712691876644,62.719624,-273.19537,-0.0012988279891243128,0.0005772371324788139,0.32151794,0.14706421
2,0,545,356.10825802609503,30.13996219549115,31.352306,-268.8475,545,356.10799352732477,30.139866297884257,31.409203,-268.8724,-0.0002287389122509129,-9.58976068936579e-05,0.05689621,-0.024902344
3,0,545,356.25553664609475,30.333043258697355,-0.23103692,-219.52281,545,356.25540657391963,30.33349830381127,-0.20337795,-219.40775,-0.00011226587174962509,0.00045504511391669666,0.02765897,0.11506653
4,0,545,356.345838406053,30.202487256728514,-19.540161,-252.75497,545,356.3458381198759,30.202859683574868,-19.539776,-252.65962,-2.4732941765422965e-07,0.00037242684635430123,0.00038528442,0.09535217
5,0,545,356.07764682063384,30.25465810068953,37.727745,-239.47725,545,356.0774909572032,30.25487040828605,37.76069,-239.42326,-0.00013463398128030446,0.00021230759652013376,0.032943726,0.053985596
6,0,33,356.1993330839664,30.16310127933362,11.805024,-262.848,33,356.19982806541856,30.163109777000656,11.698996,-262.8457,0.00042796025554256537,8.497667035811673e-06,-0.10602856,0.0022888184
7,0,33,356.1821875491817,30.296890355995686,15.387663,-228.68907,33,356.18256268226145,30.296602786273994,15.307953,-228.76193,0.00032389850352509893,-0.0002875697216921935,-0.07971001,-0.07286072
8,0,545,355.91985043671536,30.06992153452465,72.08032,-287.20767,545,355.9184804161995,30.071076531649474,72.372185,-286.90973,-0.0011856357273683706,0.0011549971248250301,0.2918625,0.29794312
9,0,4294967296,355.9885695312624,30.086001988363062,57.20239,-282.9239,141733920768,356.00150811333117,30.08864307639438,54.407234,-282.22162,0.011195417619883368,0.0026410880313179064,-2.7951546,0.7022705
10,0,33,356.21937520239203,30.17782607429572,7.5071573,-259.0614,33,356.219013886738,30.17810495732356,7.5843973,-258.9899,-0.000312346330231562,0.00027888302783907193,0.07723999,0.071502686
11,0,545,355.998798116661,30.181040185520853,54.75344,-258.3807,545,355.99892595360825,30.180260145536423,54.727955,-258.58087,0.00011050752528881936,-0.0007800399844306583,-0.025485992,-0.2001648
